ACARA School ID,Year Page Visited,Year 3 Reading,Year 3 Writing,Year 3 Spelling,Year 3 Grammar,Year 3 Numeracy,Year 5 Reading,Year 5 Writing,Year 5 Spelling,Year 5 Grammar,Year 5 Numeracy,Year 7 Reading,Year 7 Writing,Year 7 Spelling,Year 7 Grammar,Year 7 Numeracy,Year 9 Reading,Year 9 Writing,Year 9 Spelling,Year 9 Grammar,Year 9 Numeracy,Participation School Percentage,Participation Australian Percentage
44030,2023,344.0,393.0,355.0,335.0,318.0,445.0,481.0,451.0,463.0,435.0,,,,,,,,,,,88,95
44030,2024,421.0,395.0,386.0,405.0,434.0,454.0,457.0,445.0,436.0,442.0,,,,,,,,,,,75,95
44031,2023,420.0,455.0,416.0,415.0,414.0,472.0,476.0,472.0,455.0,460.0,,,,,,,,,,,98,95
44031,2024,408.0,424.0,389.0,388.0,386.0,456.0,467.0,437.0,448.0,442.0,,,,,,,,,,,91,95
44166,2023,369.0,394.0,368.0,370.0,393.0,505.0,445.0,458.0,473.0,482.0,,,,,,,,,,,100,95
44166,2024,304.0,373.0,304.0,308.0,341.0,471.0,457.0,453.0,460.0,449.0,,,,,,,,,,,96,95
44196,2023,391.0,413.0,375.0,384.0,391.0,474.0,493.0,460.0,476.0,476.0,,,,,,,,,,,98,95
44196,2024,407.0,422.0,396.0,397.0,401.0,470.0,471.0,476.0,480.0,478.0,,,,,,,,,,,98,95
44224,2023,458.0,458.0,439.0,458.0,456.0,536.0,521.0,517.0,529.0,510.0,,,,,,,,,,,99,95
44224,2024,420.0,433.0,425.0,434.0,430.0,548.0,524.0,518.0,545.0,557.0,,,,,,,,,,,100,95
44370,2024,455.0,451.0,439.0,446.0,443.0,545.0,513.0,502.0,537.0,544.0,,,,,,,,,,,92,95
44376,2023,411.0,422.0,421.0,403.0,416.0,477.0,444.0,454.0,467.0,450.0,,,,,,,,,,,96,95
44376,2024,434.0,426.0,415.0,420.0,397.0,465.0,471.0,463.0,470.0,446.0,,,,,,,,,,,94,95
